Team,Opp_FG_Per_Game,Year
San Francisco,1.3,2023
Philadelphia,0.3,2023
Chicago,1.7,2023
Tampa Bay,1.3,2023
New England,0.3,2023
Carolina,0.7,2023
Kansas City,2.0,2023
Buffalo,2.0,2023
Detroit,2.3,2023
Tennessee,2.0,2023
Indianapolis,1.3,2023
Washington,1.3,2023
Green Bay,1.7,2023
Miami,1.7,2023
LA Chargers,1.0,2023
Jacksonville,2.7,2023
Las Vegas,2.0,2023
Houston,0.7,2023
Seattle,3.0,2023
Arizona,2.3,2023
Pittsburgh,1.0,2023
Cleveland,1.3,2023
Baltimore,2.0,2023
New Orleans,1.0,2023
Atlanta,2.7,2023
NY Jets,3.3,2023
Dallas,2.0,2023
NY Giants,2.3,2023
Cincinnati,1.7,2023
LA Rams,2.3,2023
Minnesota,1.0,2023
Denver,1.7,2023
Green Bay,2.0,2022
Kansas City,1.3,2022
Philadelphia,1.7,2022
New England,1.0,2022
Baltimore,1.7,2022
San Francisco,1.3,2022
Indianapolis,2.7,2022
Buffalo,1.7,2022
Arizona,1.0,2022
Denver,1.7,2022
Cincinnati,2.0,2022
Atlanta,2.0,2022
Cleveland,2.0,2022
Tampa Bay,1.3,2022
Seattle,1.3,2022
Washington,0.7,2022
Chicago,1.0,2022
Houston,2.0,2022
LA Rams,1.3,2022
Las Vegas,2.3,2022
Dallas,3.0,2022
New Orleans,1.7,2022
Miami,1.3,2022
LA Chargers,3.0,2022
Jacksonville,1.3,2022
Carolina,3.3,2022
Pittsburgh,0.7,2022
Tennessee,2.0,2022
NY Giants,2.3,2022
Minnesota,3.0,2022
Detroit,2.0,2022
NY Jets,2.3,2022
Detroit,0.7,2021
Baltimore,1.3,2021
Miami,2.7,2021
Indianapolis,0.7,2021
Kansas City,2.0,2021
Pittsburgh,1.3,2021
Tennessee,2.0,2021
Buffalo,1.0,2021
New England,0.3,2021
LA Rams,1.3,2021
Green Bay,1.7,2021
New Orleans,1.3,2021
Tampa Bay,2.3,2021
Dallas,1.3,2021
Atlanta,1.7,2021
Cleveland,2.3,2021
Houston,2.3,2021
Arizona,1.0,2021
Washington,1.3,2021
Philadelphia,2.0,2021
Chicago,0.3,2021
LA Chargers,1.7,2021
Carolina,1.7,2021
NY Jets,1.0,2021
Seattle,3.0,2021
Jacksonville,1.7,2021
NY Giants,2.0,2021
Las Vegas,2.7,2021
Cincinnati,1.0,2021
San Francisco,2.0,2021
Minnesota,2.0,2021
Denver,2.3,2021
New England,1.0,2020
San Francisco,0.7,2020
Buffalo,2.3,2020
Las Vegas,2.0,2020
Kansas City,1.3,2020
Tennessee,1.3,2020
Jacksonville,2.0,2020
Philadelphia,1.7,2020
New Orleans,1.0,2020
LA Chargers,2.0,2020
Chicago,2.0,2020
Cleveland,1.3,2020
Houston,1.7,2020
LA Rams,2.0,2020
Seattle,1.7,2020
NY Giants,1.3,2020
Washington,1.7,2020
Pittsburgh,2.7,2020
Baltimore,0.7,2020
Dallas,1.3,2020
Arizona,1.3,2020
Carolina,0.7,2020
Detroit,2.0,2020
Green Bay,2.0,2020
NY Jets,1.0,2020
Indianapolis,2.3,2020
Minnesota,2.7,2020
Cincinnati,1.3,2020
Atlanta,1.7,2020
Miami,1.0,2020
Denver,2.3,2020
Tampa Bay,3.0,2020
New Orleans,2.0,2019
Detroit,0.7,2019
Carolina,1.0,2019
Kansas City,0.7,2019
Tampa Bay,2.0,2019
Washington,1.7,2019
Houston,1.0,2019
Atlanta,1.0,2019
Pittsburgh,1.3,2019
New England,0.7,2019
Green Bay,1.0,2019
LA Chargers,1.3,2019
Baltimore,2.3,2019
Buffalo,0.7,2019
San Francisco,1.0,2019
Miami,1.0,2019
Chicago,1.7,2019
Arizona,1.7,2019
Las Vegas,1.0,2019
LA Rams,1.7,2019
Seattle,2.3,2019
Indianapolis,0.7,2019
Denver,1.0,2019
Tennessee,1.7,2019
Jacksonville,1.7,2019
Dallas,2.3,2019
Cleveland,2.7,2019
NY Giants,0.3,2019
Philadelphia,1.7,2019
Cincinnati,2.7,2019
Minnesota,1.7,2019
NY Jets,3.0,2019
Dallas,0.3,2018
Philadelphia,1.0,2018
Pittsburgh,0.7,2018
Jacksonville,0.7,2018
NY Jets,0.7,2018
Kansas City,1.3,2018
New England,1.7,2018
Detroit,2.0,2018
LA Chargers,1.3,2018
Denver,2.0,2018
Cleveland,0.7,2018
LA Rams,3.0,2018
Minnesota,1.0,2018
Tampa Bay,1.7,2018
Arizona,1.0,2018
Miami,3.0,2018
NY Giants,1.3,2018
Baltimore,1.7,2018
Carolina,3.3,2018
Chicago,1.0,2018
Atlanta,2.0,2018
New Orleans,2.7,2018
Green Bay,2.0,2018
Indianapolis,2.0,2018
San Francisco,2.0,2018
Seattle,3.3,2018
Buffalo,1.7,2018
Tennessee,0.3,2018
Houston,1.7,2018
Washington,2.7,2018
Las Vegas,1.7,2018
Cincinnati,1.7,2018
LA Rams,1.3,2017
Baltimore,2.3,2017
Cleveland,1.0,2017
Seattle,1.3,2017
New England,1.3,2017
Detroit,1.0,2017
Las Vegas,1.3,2017
Atlanta,1.3,2017
Houston,1.0,2017
Washington,2.0,2017
Arizona,1.7,2017
Miami,1.3,2017
Dallas,1.3,2017
Pittsburgh,2.0,2017
NY Jets,1.0,2017
Tennessee,2.0,2017
Tampa Bay,2.7,2017
Cincinnati,3.0,2017
Green Bay,2.0,2017
Philadelphia,2.7,2017
Minnesota,1.3,2017
San Francisco,2.0,2017
Denver,1.7,2017
Kansas City,3.0,2017
Buffalo,2.3,2017
New Orleans,0.7,2017
NY Giants,1.0,2017
Chicago,2.0,2017
Carolina,2.7,2017
LA Chargers,3.0,2017
Indianapolis,1.3,2017
Jacksonville,2.0,2017
Kansas City,1.0,2016
Atlanta,1.7,2016
Carolina,1.3,2016
Miami,1.0,2016
Houston,1.7,2016
Buffalo,1.0,2016
New Orleans,0.3,2016
Tennessee,3.0,2016
Washington,1.0,2016
Chicago,0.7,2016
New England,2.0,2016
Green Bay,1.7,2016
Detroit,1.7,2016
NY Jets,2.7,2016
Denver,2.0,2016
Arizona,2.3,2016
Philadelphia,2.0,2016
Minnesota,1.3,2016
Seattle,1.3,2016
San Francisco,2.7,2016
Indianapolis,2.0,2016
Cincinnati,3.0,2016
Pittsburgh,3.3,2016
LA Chargers,1.3,2016
Jacksonville,2.3,2016
Cleveland,2.0,2016
Baltimore,1.3,2016
Dallas,1.7,2016
Tampa Bay,2.0,2016
NY Giants,2.0,2016
LA Rams,2.7,2016
Las Vegas,1.7,2016
Indianapolis,1.3,2015
Dallas,1.7,2015
Detroit,0.3,2015
Green Bay,0.0,2015
Houston,0.7,2015
San Francisco,1.0,2015
Carolina,0.7,2015
Philadelphia,2.3,2015
Washington,1.7,2015
Denver,1.3,2015
Seattle,2.7,2015
LA Rams,3.0,2015
Minnesota,2.0,2015
Arizona,1.3,2015
NY Jets,1.7,2015
Miami,2.3,2015
New England,0.7,2015
LA Chargers,3.0,2015
Cincinnati,2.0,2015
Cleveland,2.0,2015
Tampa Bay,2.0,2015
NY Giants,2.0,2015
Baltimore,1.3,2015
Buffalo,3.0,2015
Jacksonville,1.3,2015
Atlanta,1.3,2015
New Orleans,1.7,2015
Pittsburgh,2.7,2015
Kansas City,1.3,2015
Las Vegas,2.0,2015
Chicago,1.7,2015
Tennessee,1.0,2015
